Club name, Stadium capacity, Major European trophies, Major Domestic trophies, Market value (in M), International Players
AFC Ajax, 54990, 8, 62, 342.55, 13
PSV Eindhoven, 35000, 2, 44, 172.85, 9
AZ Alkmaar, 17023, 0, 7, 117.45, 11
Feyenoord, 47500, 3, 32, 118.18, 5
FC Utrecht, 23750, 0, 5, 40.63, 0
SC Heerenveen, 27224, 0, 1, 30.05, 4
SBV Vitesse, 21248, 0, 1, 26.18, 5
Willem II Tilburg, 14700, 0, 5, 24.63, 4
FC Groningen, 22550, 0, 1, 22.98, 4
FC Twente, 30205, 0, 6, 21.10, 3
ADO Den Haag, 15000, 0, 4, 16.70, 1
PEC Zwolle, 14000, 0, 2, 16.33, 2
Fortuna Sittard, 12500, 0, 2, 15.25, 5
Sparta Rotterdam, 11026, 0, 9, 14.75, 4
FC Emmen, 8309, 0, 0, 13.25, 3
Heracles Almelo, 12400, 0, 2, 13.00, 3
VVV-Venlo, 8000, 0, 1, 11.25, 2
RKC Waalwijk, 7508, 0, 0, 9.88, 3
