Club name, Stadium capacity, Major European trophies, Major Domestic trophies, Market value (in M), International Players
-,         2,                4,                       3,                       4,                   1
Sport Lisboa e Benfica, 65000, 2, 78, 312.00, 8
Futebol Clube do Porto, 50399, 7, 70, 243.03, 8
Sporting Clube de Portugal, 50080, 0, 35, 149.40, 4
Sporting Clube de Braga, 30286, 0, 4, 96.65, 2
Vitória Sport Clube, 29865, 0, 2, 52.23, 1
FC Famalicão, 5300, 0, 0, 51.23, 2
Boavista Futebol Clube, 28263, 0, 9, 31.35, 2
Rio Ave Futebol Clube, 9065, 0, 0, 25.65, 2
Portimonense Sporting Clube, 6000, 0, 0, 19.50, 0
Club Sport Marítimo, 10600, 0, 0, 17.80, 4
Clube Desportivo Santa Clara, 15000, 0, 0, 17.65, 0
FC Paços de Ferreira, 9200, 0, 0, 17.30, 1
Moreirense Futebol Clube, 6153, 0, 1, 15.58, 1
Belenenses SAD, 41000, 0, 0, 13.60, 1
SC Farense, 15000, 0, 0, 13.48, 2
CD Nacional, 5586, 0, 0, 13.38, 5
Gil Vicente Futebol Clube, 12504, 0, 0, 10.85, 0
Clube Desportivo Tondela, 5000, 0, 0, 9.30, 2
AFC Ajax, 54990, 8, 62, 342.55, 13
PSV Eindhoven, 35000, 2, 44, 172.85, 9
AZ Alkmaar, 17023, 0, 7, 117.45, 11
Feyenoord, 47500, 3, 32, 118.18, 5
FC Utrecht, 23750, 0, 5, 40.63, 0
SC Heerenveen, 27224, 0, 1, 30.05, 4
SBV Vitesse, 21248, 0, 1, 26.18, 5
Willem II Tilburg, 14700, 0, 5, 24.63, 4
FC Groningen, 22550, 0, 1, 22.98, 4
FC Twente, 30205, 0, 6, 21.10, 3
ADO Den Haag, 15000, 0, 4, 16.70, 1
PEC Zwolle, 14000, 0, 2, 16.33, 2
Fortuna Sittard, 12500, 0, 2, 15.25, 5
Sparta Rotterdam, 11026, 0, 9, 14.75, 4
FC Emmen, 8309, 0, 0, 13.25, 3
Heracles Almelo, 12400, 0, 2, 13.00, 3
VVV-Venlo, 8000, 0, 1, 11.25, 2
RKC Waalwijk, 7508, 0, 0, 9.88, 3
FC Barcelona, 99354, 13, 69, 808.50, 15
Real Madrid CF, 81044, 25, 64, 782.00, 15
Atlético de Madrid, 68456, 6, 22, 770.20, 16
Real Sociedad, 39500, 0, 5, 348.90, 3
Sevilla FC, 43883, 7, 7, 346.90, 10
FC Villarreal, 23500, 0, 0, 252.30, 5
Valencia CF, 48600, 3, 15, 233.20, 8
Athletic Bilbao, 53289, 0, 35, 215.10, 2
Real Bétis, 59378, 0, 3, 202.10, 9
Getafe CF, 16800, 0, 0, 187, 7
Celta de Vigo, 29000, 0, 0, 123.20, 5
Granada CF, 19336, 0, 0, 110.10, 6
Levante UD, 25354, 0, 0, 105, 4
CA Osasuna, 18762, 0, 0, 80.50, 1
Deportivo Alavés, 19840, 0, 0, 71.50, 1
SD Eibar, 8164, 0, 0, 71, 2
Real Valladolid CF, 27618, 0, 0, 62.20, 3
SD Huesca, 7800, 0, 0, 47.30, 1
Cádiz CF, 21094, 0, 0, 39, 3
Elche CF, 33732, 0, 0, 37.30, 3
FC Liverpool, 54074, 14, 49, 1110, 20
Manchester City FC, 55017, 0, 25, 1060, 17
Chelsea FC, 40853, 4, 23, 823.05, 19
Manchester United FC, 74879, 6, 58, 765.35, 15
