Juventus FC, 41507, 7, 57, 690.90, 16, -
FC Internazionale Milano, 75923, 7, 30, 607.30, 16, -
Napoli, 54726, 1, 10, 587.50, 17, -
AC Milan, 75923, 13, 30, 491.80, 13, -
Atalanta BC, 22512, 0, 1, 375, 14, -
SS Lazio, 73261, 1, 14, 357.30, 11, -
AS Roma, 73261, 0, 14, 356.45, 9, -
US Sassuolo, 21584, 0, 0, 216.25, 11, -
ACF Fiorentina, 47282, 0, 9, 188.90, 10, -
Cagliari Calcio, 16416, 0, 1, 186.35, 9, -
Udinese Calcio, 25144, 0, 0, 149.70, 5, -
Bologna FC, 36462, 0, 9, 143.80, 10, -
Torino FC, 27994, 0, 12, 141.60, 10, -
Hellas Verona, 39211, 0, 1, 135.38, 5, -
Parma Calcio 1913, 22352, 3, 4, 113.35, 6, -
UC Sampdoria, 36348, 0, 6, 103.30, 8, -
Genoa, 36599, 0, 10, 101.75, 7, -
Spezia Calcio, 10336, 0, 0, 56.95, 1, -
Benevento Calcio, 16867, 0, 0, 45.43, 4, -
FC Crotone, 16640, 0, 0, 39.90, 1, -
