Club name, Stadium capacity, Major European trophies, Major Domestic trophies, Market value (in M), International Players
FC Barcelona, 99354, 13, 69, 808.50, 15
Real Madrid CF, 81044, 25, 64, 782.00, 15
Atlético de Madrid, 68456, 6, 22, 770.20, 16
Real Sociedad, 39500, 0, 5, 348.90, 3
Sevilla FC, 43883, 7, 7, 346.90, 10
FC Villarreal, 23500, 0, 0, 252.30, 5
Valencia CF, 48600, 3, 15, 233.20, 8
Athletic Bilbao, 53289, 0, 35, 215.10, 2
Real Bétis, 59378, 0, 3, 202.10, 9
Getafe CF, 16800, 0, 0, 187, 7
Celta de Vigo, 29000, 0, 0, 123.20, 5
Granada CF, 19336, 0, 0, 110.10, 6
Levante UD, 25354, 0, 0, 105, 4
CA Osasuna, 18762, 0, 0, 80.50, 1
Deportivo Alavés, 19840, 0, 0, 71.50, 1
SD Eibar, 8164, 0, 0, 71, 2
Real Valladolid CF, 27618, 0, 0, 62.20, 3
SD Huesca, 7800, 0, 0, 47.30, 1
Cádiz CF, 21094, 0, 0, 39, 3
Elche CF, 33732, 0, 0, 37.30, 3
