Club name, Stadium capacity, Major European trophies, Major Domestic trophies, Market value (in M), International Players
Sport Lisboa e Benfica, 65000, 2, 78, 312.00, 8
Futebol Clube do Porto, 50399, 7, 70, 243.03, 8
Sporting Clube de Portugal, 50080, 0, 35, 149.40, 4
Sporting Clube de Braga, 30286, 0, 4, 96.65, 2
Vitória Sport Clube, 29865, 0, 2, 52.23, 1
FC Famalicão, 5300, 0, 0, 51.23, 2
Boavista Futebol Clube, 28263, 0, 9, 31.35, 2
Rio Ave Futebol Clube, 9065, 0, 0, 25.65, 2
Portimonense Sporting Clube, 6000, 0, 0, 19.50, 0
Club Sport Marítimo, 10600, 0, 0, 17.80, 4
Clube Desportivo Santa Clara, 15000, 0, 0, 17.65, 0
FC Paços de Ferreira, 9200, 0, 0, 17.30, 1
Moreirense Futebol Clube, 6153, 0, 1, 15.58, 1
Belenenses SAD, 41000, 0, 0, 13.60, 1
SC Farense, 15000, 0, 0, 13.48, 2
CD Nacional, 5586, 0, 0, 13.38, 5
Gil Vicente Futebol Clube, 12504, 0, 0, 10.85, 0
Clube Desportivo Tondela, 5000, 0, 0, 9.30, 2
