Club name, Stadium capacity, Major European trophies, Major Domestic trophies, Market value (in M), International Players
FC Liverpool, 54074, 14, 49, 1110, 20
Manchester City FC, 55017, 0, 25, 1060, 17
Chelsea FC, 40853, 4, 23, 823.05, 19
Manchester United FC, 74879, 6, 58, 765.35, 15
Tottenham Hotspur, 62062, 2, 21, 737.15, 17
FC Arsenal, 60704, 0, 45, 560.70, 12
FC Everton, 39571, 0, 23, 507.30, 16
Leicester City FC, 32273, 0, 5, 480.50, 10
Wolverhampton Wanderers, 32050, 0, 13, 422.60, 14
Aston Villa FC, 42682, 2, 20, 323.50, 9
Newcastle United, 52338, 0, 11, 268.05, 8
West Ham United, 60000, 0, 4, 262.85, 10
Brighton Albion, 30666, 0, 1, 250.25, 9
FC Southampton, 32384, 0, 1, 240.50, 7
FC Fulham, 19000, 0, 0, 216.30, 13
Crystal Palace FC, 26047, 0, 0, 207.98, 10
Leeds United FC, 37890, 0, 7, 195.53, 9
Sheffield United, 32702, 0, 5, 172.30, 7
FC Burnley, 21994, 0, 5, 152.08, 7
West Bromwich Albion, 26850, 0, 9, 118.15, 5
